2025-03-14 12:27:14,234 | WARNING  | helper_functions.py:142 | Error: Time index '1.7617617617617618' or column 'Fx' not found.
2025-03-14 12:27:14,238 | WARNING  | helper_functions.py:142 | Error: Time index '1.7717717717717718' or column 'Fx' not found.
2025-03-14 12:27:14,241 | WARNING  | helper_functions.py:142 | Error: Time index '1.7817817817817818' or column 'Fx' not found.
2025-03-14 12:27:14,243 | WARNING  | helper_functions.py:142 | Error: Time index '1.7917917917917918' or column 'Fx' not found.
2025-03-14 12:27:14,246 | WARNING  | helper_functions.py:142 | Error: Time index '1.8018018018018018' or column 'Fx' not found.
2025-03-14 12:27:14,248 | WARNING  | helper_functions.py:142 | Error: Time index '1.8118118118118118' or column 'Fx' not found.
2025-03-14 12:27:14,252 | WARNING  | helper_functions.py:142 | Error: Time index '1.8218218218218218' or column 'Fx' not found.
2025-03-14 12:27:14,255 | WARNING  | helper_functions.py:142 | Error: Time index '1.8318318318318318' or column 'Fx' not found.
2025-03-14 12:27:14,258 | WARNING  | helper_functions.py:142 | Error: Time index '1.8418418418418419' or column 'Fx' not found.
2025-03-14 12:27:14,260 | WARNING  | helper_functions.py:142 | Error: Time index '1.8518518518518519' or column 'Fx' not found.
2025-03-14 12:27:14,263 | WARNING  | helper_functions.py:142 | Error: Time index '1.8618618618618619' or column 'Fx' not found.
2025-03-14 12:27:14,265 | WARNING  | helper_functions.py:142 | Error: Time index '1.8718718718718719' or column 'Fx' not found.
2025-03-14 12:27:14,269 | WARNING  | helper_functions.py:142 | Error: Time index '1.8818818818818819' or column 'Fx' not found.
2025-03-14 12:27:14,272 | WARNING  | helper_functions.py:142 | Error: Time index '1.8918918918918919' or column 'Fx' not found.
2025-03-14 12:27:14,275 | WARNING  | helper_functions.py:142 | Error: Time index '1.901901901901902' or column 'Fx' not found.
2025-03-14 12:27:14,277 | WARNING  | helper_functions.py:142 | Error: Time index '1.911911911911912' or column 'Fx' not found.
2025-03-14 12:27:14,280 | WARNING  | helper_functions.py:142 | Error: Time index '1.921921921921922' or column 'Fx' not found.
2025-03-14 12:27:14,283 | WARNING  | helper_functions.py:142 | Error: Time index '1.931931931931932' or column 'Fx' not found.
2025-03-14 12:27:14,286 | WARNING  | helper_functions.py:142 | Error: Time index '1.941941941941942' or column 'Fx' not found.
2025-03-14 12:27:14,289 | WARNING  | helper_functions.py:142 | Error: Time index '1.951951951951952' or column 'Fx' not found.
2025-03-14 12:27:14,292 | WARNING  | helper_functions.py:142 | Error: Time index '1.961961961961962' or column 'Fx' not found.
2025-03-14 12:27:14,294 | WARNING  | helper_functions.py:142 | Error: Time index '1.971971971971972' or column 'Fx' not found.
